Duration in Seconds,Entered At,Exited At,Place of Interest Name,Place of Interest Facility Type,Places of Interest Id
25145,2025-05-10T15:57:50.000Z,2025-05-10T22:56:55.000Z,Castaño,dorm,5
431,2025-05-11T00:13:25.000Z,2025-05-11T00:20:36.000Z,Lane Library,library,7
1434,2025-05-11T00:21:43.000Z,2025-05-11T00:45:37.000Z,Castaño,dorm,5
392,2025-05-11T00:49:16.000Z,2025-05-11T00:55:48.000Z,Castaño,dorm,5
792,2025-05-11T01:04:56.000Z,2025-05-11T01:18:08.000Z,Tresidder,place,17
8535,2025-05-11T02:54:49.000Z,2025-05-11T05:17:04.000Z,Greenfish,dining,15
4677,2025-05-11T05:45:52.000Z,2025-05-11T07:03:49.000Z,Castaño,dorm,5
652,2025-05-11T19:45:47.000Z,2025-05-11T19:56:39.000Z,Castaño,dorm,5
312,2025-05-11T20:00:55.000Z,2025-05-11T20:06:07.000Z,Lane Library,library,7
10573,2025-05-11T22:54:25.000Z,2025-05-12T01:50:38.000Z,Lane Library,library,7
1111,2025-05-12T01:58:17.000Z,2025-05-12T02:16:48.000Z,Flomo Dining,dining,18
9579,2025-05-12T02:34:54.000Z,2025-05-12T05:14:33.000Z,Tresidder,place,17
36126,2025-05-12T05:24:39.000Z,2025-05-12T15:26:45.000Z,Castaño,dorm,5
10735,2025-05-12T16:22:54.000Z,2025-05-12T19:21:49.000Z,Lantana,dorm,4
6173,2025-05-12T23:57:07.000Z,2025-05-13T01:40:00.000Z,Main Quad,null,6
2806,2025-05-13T04:08:33.000Z,2025-05-13T04:55:19.000Z,Green,library,12
406,2025-05-13T08:19:36.000Z,2025-05-13T08:26:22.000Z,Green,library,12
31937,2025-05-13T08:27:39.000Z,2025-05-13T17:19:56.000Z,Casper Dining,dining,13
7561,2025-05-13T17:39:57.000Z,2025-05-13T19:45:58.000Z,Tresidder,place,17
1307,2025-05-13T19:49:21.000Z,2025-05-13T20:11:08.000Z,Greenfish,dining,15
388,2025-05-13T20:17:52.000Z,2025-05-13T20:24:20.000Z,Greenfish,dining,15
4982,2025-05-14T00:17:28.000Z,2025-05-14T01:40:30.000Z,Tresidder,place,17
360,2025-05-14T01:46:05.000Z,2025-05-14T01:52:05.000Z,Tresidder,place,17
416,2025-05-14T03:57:03.000Z,2025-05-14T04:03:59.000Z,Lane Library,library,7
28980,2025-05-14T08:12:05.000Z,2025-05-14T16:15:05.000Z,Castaño,dorm,5
10113,2025-05-14T16:39:24.000Z,2025-05-14T19:27:57.000Z,Castaño,dorm,5
