Duration in Seconds,Entered At,Exited At,Place of Interest Name,Place of Interest Facility Type,Places of Interest Id
8535,2025-05-11T02:54:49.000Z,2025-05-11T05:17:04.000Z,Greenfish,dining,15
1111,2025-05-12T01:58:17.000Z,2025-05-12T02:16:48.000Z,Flomo Dining,dining,18
31937,2025-05-13T08:27:39.000Z,2025-05-13T17:19:56.000Z,Casper Dining,dining,13
1307,2025-05-13T19:49:21.000Z,2025-05-13T20:11:08.000Z,Greenfish,dining,15
388,2025-05-13T20:17:52.000Z,2025-05-13T20:24:20.000Z,Greenfish,dining,15
9244,2025-05-14T22:28:20.000Z,2025-05-15T01:02:24.000Z,Greenfish,dining,15
10569,2025-05-16T02:19:40.000Z,2025-05-16T05:15:49.000Z,Greenfish,dining,15
3801,2025-05-16T19:15:00.000Z,2025-05-16T20:18:21.000Z,Stern Dining,dining,1
4438,2025-05-16T23:10:00.000Z,2025-05-17T00:23:58.000Z,Greenfish,dining,15
3037,2025-05-17T07:05:10.000Z,2025-05-17T07:55:47.000Z,Stern Dining,dining,1
335,2025-05-19T00:56:53.000Z,2025-05-19T01:02:28.000Z,Flomo Dining,dining,18
42785,2025-05-19T04:42:56.000Z,2025-05-19T16:36:01.000Z,Casper Dining,dining,13
58715,2025-05-21T01:12:57.000Z,2025-05-21T17:31:32.000Z,Stern Dining,dining,1
10517,2025-05-21T19:29:56.000Z,2025-05-21T22:25:13.000Z,Stern Dining,dining,1
59035,2025-05-22T01:44:40.000Z,2025-05-22T18:08:35.000Z,Stern Dining,dining,1
23911,2025-05-22T21:30:36.000Z,2025-05-23T04:09:07.000Z,Flomo Dining,dining,18
19444,2025-05-23T16:42:19.000Z,2025-05-23T22:06:23.000Z,Casper Dining,dining,13
2928,2025-05-24T00:30:32.000Z,2025-05-24T01:19:20.000Z,Lutticken's Deli,dining,16
556,2025-05-24T19:09:07.000Z,2025-05-24T19:18:23.000Z,Casper Dining,dining,13
267743,2025-05-27T01:44:55.000Z,2025-05-30T04:07:18.000Z,Casper Dining,dining,13
3875,2025-05-30T23:36:48.000Z,2025-05-31T00:41:23.000Z,Casper Dining,dining,13
