Duration in Seconds,Entered At,Exited At,Place of Interest Name,Place of Interest Facility Type,Places of Interest Id
25145,2025-05-10T15:57:50.000Z,2025-05-10T22:56:55.000Z,Castaño,dorm,5
1434,2025-05-11T00:21:43.000Z,2025-05-11T00:45:37.000Z,Castaño,dorm,5
392,2025-05-11T00:49:16.000Z,2025-05-11T00:55:48.000Z,Castaño,dorm,5
4677,2025-05-11T05:45:52.000Z,2025-05-11T07:03:49.000Z,Castaño,dorm,5
652,2025-05-11T19:45:47.000Z,2025-05-11T19:56:39.000Z,Castaño,dorm,5
36126,2025-05-12T05:24:39.000Z,2025-05-12T15:26:45.000Z,Castaño,dorm,5
10735,2025-05-12T16:22:54.000Z,2025-05-12T19:21:49.000Z,Lantana,dorm,4
28980,2025-05-14T08:12:05.000Z,2025-05-14T16:15:05.000Z,Castaño,dorm,5
10113,2025-05-14T16:39:24.000Z,2025-05-14T19:27:57.000Z,Castaño,dorm,5
41649,2025-05-15T05:36:31.000Z,2025-05-15T17:10:40.000Z,Castaño,dorm,5
2238,2025-05-15T17:22:02.000Z,2025-05-15T17:59:20.000Z,Lantana,dorm,4
11675,2025-05-16T16:00:11.000Z,2025-05-16T19:14:46.000Z,Lantana,dorm,4
11236,2025-05-17T01:55:59.000Z,2025-05-17T05:03:15.000Z,Crother,dorm,2
1671,2025-05-17T17:38:12.000Z,2025-05-17T18:06:03.000Z,Castaño,dorm,5
4588,2025-05-18T00:54:22.000Z,2025-05-18T02:10:50.000Z,Lantana,dorm,4
1039,2025-05-18T05:31:58.000Z,2025-05-18T05:49:17.000Z,Castaño,dorm,5
20052,2025-05-18T05:49:33.000Z,2025-05-18T11:23:45.000Z,Castaño,dorm,5
29069,2025-05-18T11:32:12.000Z,2025-05-18T19:36:41.000Z,Castaño,dorm,5
508,2025-05-18T23:21:32.000Z,2025-05-18T23:30:00.000Z,Lantana,dorm,4
3238,2025-05-18T23:30:00.000Z,2025-05-19T00:23:58.000Z,Castaño,dorm,5
646,2025-05-19T00:27:04.000Z,2025-05-19T00:37:50.000Z,Castaño,dorm,5
14599,2025-05-19T16:36:13.000Z,2025-05-19T20:39:32.000Z,Lantana,dorm,4
363,2025-05-23T04:14:49.000Z,2025-05-23T04:20:52.000Z,Castaño,dorm,5
1501,2025-05-25T03:01:33.000Z,2025-05-25T03:26:34.000Z,Castaño,dorm,5
77560,2025-05-25T03:31:35.000Z,2025-05-26T01:04:15.000Z,Castaño,dorm,5
487,2025-05-26T23:22:35.000Z,2025-05-26T23:30:42.000Z,Castaño,dorm,5
450,2025-05-26T23:39:11.000Z,2025-05-26T23:46:41.000Z,Castaño,dorm,5
962,2025-05-26T23:46:46.000Z,2025-05-27T00:02:48.000Z,Lantana,dorm,4
51092,2025-05-30T05:17:50.000Z,2025-05-30T19:29:22.000Z,Castaño,dorm,5
