Date,Place of Interest Name,Place of Interest Facility Type,Places of Interest Id
2025-04-13T02:04:47.000Z,Gym (Farrillaga),gym,8
2025-04-13T08:04:10.000Z,Castaño,dorm,5
2025-04-18T21:36:00.000Z,Tresidder,place,17
2025-04-19T13:08:08.000Z,Castaño,dorm,5
2025-05-11T03:06:34.000Z,Greenfish,dining,15
2025-05-11T03:13:38.000Z,Lane Library,library,7
2025-05-11T04:20:42.000Z,Lantana,dorm,4
2025-05-11T04:21:01.000Z,Castaño,dorm,5
2025-05-11T04:21:59.000Z,Casper Dining,dining,13
2025-05-11T04:46:07.000Z,Castaño,dorm,5
2025-05-11T04:56:04.000Z,Tresidder,place,17
2025-05-11T05:18:15.000Z,Gym (Farrillaga),gym,8
2025-05-11T06:02:26.000Z,Lane Library,library,7
2025-05-11T06:52:23.000Z,Greenfish,dining,15
2025-05-11T09:17:09.000Z,Lantana,dorm,4
2025-05-11T09:17:21.000Z,Castaño,dorm,5
2025-05-11T11:03:22.000Z,Lantana,dorm,4
2025-05-11T11:03:22.000Z,Castaño,dorm,5
2025-05-11T11:03:30.000Z,Lantana,dorm,4
2025-05-11T11:04:19.000Z,Castaño,dorm,5
2025-05-11T21:39:11.000Z,Casper Dining,dining,13
2025-05-11T21:50:43.000Z,Castaño,dorm,5
2025-05-11T23:56:49.000Z,Lane Library,library,7
2025-05-12T05:50:44.000Z,Tresidder,place,17
2025-05-12T05:52:03.000Z,Flomo Dining,dining,18
2025-05-12T06:34:42.000Z,Tresidder,place,17
2025-05-12T09:15:52.000Z,Castaño,dorm,5
2025-05-12T19:26:45.000Z,Lantana,dorm,4
2025-05-12T19:26:45.000Z,Castaño,dorm,5
2025-05-12T19:57:04.000Z,Casper Dining,dining,13
2025-05-12T20:06:32.000Z,Castaño,dorm,5
2025-05-12T20:22:54.000Z,Lantana,dorm,4
2025-05-12T23:22:04.000Z,Green,library,12
2025-05-13T03:55:00.000Z,Main Quad,,6
2025-05-13T05:47:34.000Z,Stern Dining,dining,1
2025-05-13T06:10:38.000Z,Green,library,12
2025-05-13T08:58:24.000Z,Crother,dorm,2
2025-05-13T09:00:17.000Z,Castaño,dorm,5
2025-05-13T10:24:04.000Z,Crother,dorm,2
2025-05-13T10:28:10.000Z,Green,library,12
2025-05-13T10:33:29.000Z,Main Quad,,6
2025-05-13T12:17:52.000Z,Green,library,12
2025-05-13T12:26:39.000Z,Casper Dining,dining,13
2025-05-13T12:27:55.000Z,Castaño,dorm,5
2025-05-13T21:24:03.000Z,Lantana,dorm,4
2025-05-13T21:24:39.000Z,Castaño,dorm,5
2025-05-13T21:37:41.000Z,Tresidder,place,17
2025-05-13T23:46:05.000Z,Lane Library,library,7
2025-05-13T23:48:15.000Z,Greenfish,dining,15
2025-05-14T00:25:28.000Z,Lane Library,library,7
2025-05-14T04:02:07.000Z,Greenfish,dining,15
2025-05-14T04:07:07.000Z,Tresidder,place,17
2025-05-14T05:52:11.000Z,Greenfish,dining,15
2025-05-14T05:52:37.000Z,Lane Library,library,7
2025-05-14T08:04:04.000Z,Lantana,dorm,4
2025-05-14T08:04:14.000Z,Castaño,dorm,5
2025-05-14T08:28:17.000Z,Crother,dorm,2
2025-05-14T11:53:24.000Z,Castaño,dorm,5
2025-05-14T12:11:07.000Z,Lantana,dorm,4
2025-05-14T12:12:05.000Z,Castaño,dorm,5
2025-05-14T23:33:16.000Z,Greenfish,dining,15
2025-05-14T23:41:28.000Z,Lane Library,library,7
2025-05-14T23:41:53.000Z,Greenfish,dining,15
2025-05-15T00:11:50.000Z,Lane Library,library,7
2025-05-15T02:27:33.000Z,Greenfish,dining,15
2025-05-15T05:03:04.000Z,Tresidder,place,17
2025-05-15T06:22:51.000Z,Green,library,12
2025-05-15T07:31:45.000Z,Castaño,dorm,5
2025-05-15T21:10:40.000Z,Lantana,dorm,4
2025-05-15T21:10:40.000Z,Castaño,dorm,5
2025-05-15T21:11:15.000Z,Lantana,dorm,4
2025-05-15T21:11:15.000Z,Castaño,dorm,5
2025-05-15T21:20:45.000Z,Casper Dining,dining,13
2025-05-15T21:22:02.000Z,Lantana,dorm,4
2025-05-15T22:03:36.000Z,Lane Library,library,7
2025-05-16T00:13:00.000Z,Lutticken's Deli,dining,16
2025-05-16T00:17:12.000Z,Gym (Farrillaga),gym,8
2025-05-16T00:47:00.000Z,Lane Library,library,7
2025-05-16T01:43:49.000Z,Main Quad,,6
2025-05-16T05:27:24.000Z,Lane Library,library,7
2025-05-16T06:19:36.000Z,Greenfish,dining,15
2025-05-16T09:15:55.000Z,Lantana,dorm,4
2025-05-16T09:20:02.000Z,Castaño,dorm,5
2025-05-16T19:46:45.000Z,Casper Dining,dining,13
2025-05-16T19:58:45.000Z,Castaño,dorm,5
2025-05-16T20:00:11.000Z,Lantana,dorm,4
2025-05-16T23:14:53.000Z,Stern Dining,dining,1
2025-05-17T00:18:26.000Z,Lane Library,library,7
2025-05-17T03:09:52.000Z,Greenfish,dining,15
2025-05-17T04:24:02.000Z,Stern Dining,dining,1
2025-05-17T05:55:47.000Z,Crother,dorm,2
2025-05-17T09:03:22.000Z,The Well House,dorm,19
2025-05-17T11:48:19.000Z,Castaño,dorm,5
2025-05-17T12:02:53.000Z,Lantana,dorm,4
2025-05-17T12:02:58.000Z,Castaño,dorm,5
2025-05-17T21:38:30.000Z,Casper Dining,dining,13
2025-05-17T22:06:21.000Z,Castaño,dorm,5
2025-05-18T04:54:18.000Z,Lantana,dorm,4
2025-05-18T06:11:42.000Z,Tresidder,place,17
2025-05-18T08:09:47.000Z,Castaño,dorm,5
2025-05-18T15:23:45.000Z,Lantana,dorm,4
2025-05-18T15:23:45.000Z,Castaño,dorm,5
2025-05-18T15:24:50.000Z,Lantana,dorm,4
2025-05-18T15:24:50.000Z,Castaño,dorm,5
2025-05-18T15:27:43.000Z,Lantana,dorm,4
2025-05-18T15:27:43.000Z,Castaño,dorm,5
2025-05-19T03:21:15.000Z,Lantana,dorm,4
2025-05-19T03:21:15.000Z,Castaño,dorm,5
2025-05-19T03:21:18.000Z,Lantana,dorm,4
2025-05-19T03:21:36.000Z,Castaño,dorm,5
2025-05-19T04:23:58.000Z,Lantana,dorm,4
2025-05-19T04:23:58.000Z,Castaño,dorm,5
2025-05-19T04:26:08.000Z,Lantana,dorm,4
2025-05-19T04:26:21.000Z,Castaño,dorm,5
2025-05-19T04:43:15.000Z,Flomo Dining,dining,18
2025-05-19T05:02:28.000Z,Green,library,12
2025-05-19T08:42:31.000Z,Casper Dining,dining,13
2025-05-19T20:13:54.000Z,Castaño,dorm,5
2025-05-19T20:36:13.000Z,Lantana,dorm,4
2025-05-20T07:43:28.000Z,Green,library,12
2025-05-21T02:20:14.000Z,Gym (Farrillaga),gym,8
2025-05-21T04:58:59.000Z,Stern Dining,dining,1
2025-05-21T22:29:21.000Z,Main Quad,,6
2025-05-21T23:29:45.000Z,Stern Dining,dining,1
2025-05-22T22:13:18.000Z,Lane Library,library,7
2025-05-23T01:30:25.000Z,Tresidder,place,17
2025-05-23T01:30:36.000Z,Flomo Dining,dining,18
2025-05-23T08:14:02.000Z,Casper Dining,dining,13
2025-05-23T08:14:06.000Z,Castaño,dorm,5
2025-05-23T20:41:57.000Z,Casper Dining,dining,13
2025-05-24T03:33:58.000Z,Lane Library,library,7
2025-05-24T04:30:32.000Z,Lutticken's Deli,dining,16
2025-05-24T09:11:43.000Z,Castaño,dorm,5
2025-05-24T11:29:18.000Z,Lantana,dorm,4
2025-05-24T11:29:19.000Z,Castaño,dorm,5
2025-05-24T22:09:01.000Z,Casper Dining,dining,13
2025-05-24T23:25:18.000Z,Gym (Farrillaga),gym,8
2025-05-24T23:59:59.000Z,Greenfish,dining,15
2025-05-25T00:00:19.000Z,Lane Library,library,7
2025-05-25T05:50:41.000Z,Castaño,dorm,5
2025-05-25T05:55:09.000Z,Lantana,dorm,4
2025-05-25T05:55:09.000Z,Castaño,dorm,5
2025-05-25T06:02:17.000Z,Lantana,dorm,4
2025-05-25T06:02:17.000Z,Castaño,dorm,5
2025-05-25T07:26:23.000Z,Lantana,dorm,4
2025-05-25T07:26:23.000Z,Castaño,dorm,5
2025-05-25T07:26:34.000Z,Lantana,dorm,4
2025-05-25T07:26:42.000Z,Castaño,dorm,5
2025-05-26T01:37:00.000Z,Lane Library,library,7
2025-05-26T08:51:01.000Z,Crother,dorm,2
2025-05-27T03:22:35.000Z,Castaño,dorm,5
2025-05-27T03:30:42.000Z,Lantana,dorm,4
2025-05-27T03:30:42.000Z,Castaño,dorm,5
2025-05-27T03:38:31.000Z,Lantana,dorm,4
2025-05-27T03:38:50.000Z,Castaño,dorm,5
2025-05-27T03:46:41.000Z,Lantana,dorm,4
2025-05-27T03:46:41.000Z,Castaño,dorm,5
2025-05-27T03:46:46.000Z,Lantana,dorm,4
2025-05-27T04:02:48.000Z,Castaño,dorm,5
2025-05-27T04:30:39.000Z,Casper Dining,dining,13
