Date,Place of Interest Name,Place of Interest Facility Type,Places of Interest Id
2025-04-13T08:04:10.000Z,Castaño,dorm,5
2025-04-19T13:08:08.000Z,Castaño,dorm,5
2025-05-11T04:20:42.000Z,Lantana,dorm,4
2025-05-11T04:21:01.000Z,Castaño,dorm,5
2025-05-11T04:46:07.000Z,Castaño,dorm,5
2025-05-11T09:17:09.000Z,Lantana,dorm,4
2025-05-11T09:17:21.000Z,Castaño,dorm,5
2025-05-11T11:03:22.000Z,Lantana,dorm,4
2025-05-11T11:03:22.000Z,Castaño,dorm,5
2025-05-11T11:03:30.000Z,Lantana,dorm,4
2025-05-11T11:04:19.000Z,Castaño,dorm,5
2025-05-11T21:50:43.000Z,Castaño,dorm,5
2025-05-12T09:15:52.000Z,Castaño,dorm,5
2025-05-12T19:26:45.000Z,Lantana,dorm,4
2025-05-12T19:26:45.000Z,Castaño,dorm,5
2025-05-12T20:06:32.000Z,Castaño,dorm,5
2025-05-12T20:22:54.000Z,Lantana,dorm,4
2025-05-13T08:58:24.000Z,Crother,dorm,2
2025-05-13T09:00:17.000Z,Castaño,dorm,5
2025-05-13T10:24:04.000Z,Crother,dorm,2
2025-05-13T12:27:55.000Z,Castaño,dorm,5
2025-05-13T21:24:03.000Z,Lantana,dorm,4
2025-05-13T21:24:39.000Z,Castaño,dorm,5
2025-05-14T08:04:04.000Z,Lantana,dorm,4
2025-05-14T08:04:14.000Z,Castaño,dorm,5
2025-05-14T08:28:17.000Z,Crother,dorm,2
2025-05-14T11:53:24.000Z,Castaño,dorm,5
2025-05-14T12:11:07.000Z,Lantana,dorm,4
2025-05-14T12:12:05.000Z,Castaño,dorm,5
2025-05-15T07:31:45.000Z,Castaño,dorm,5
2025-05-15T21:10:40.000Z,Lantana,dorm,4
2025-05-15T21:10:40.000Z,Castaño,dorm,5
2025-05-15T21:11:15.000Z,Lantana,dorm,4
2025-05-15T21:11:15.000Z,Castaño,dorm,5
2025-05-15T21:22:02.000Z,Lantana,dorm,4
2025-05-16T09:15:55.000Z,Lantana,dorm,4
2025-05-16T09:20:02.000Z,Castaño,dorm,5
2025-05-16T19:58:45.000Z,Castaño,dorm,5
2025-05-16T20:00:11.000Z,Lantana,dorm,4
2025-05-17T05:55:47.000Z,Crother,dorm,2
2025-05-17T09:03:22.000Z,The Well House,dorm,19
2025-05-17T11:48:19.000Z,Castaño,dorm,5
2025-05-17T12:02:53.000Z,Lantana,dorm,4
2025-05-17T12:02:58.000Z,Castaño,dorm,5
2025-05-17T22:06:21.000Z,Castaño,dorm,5
2025-05-18T04:54:18.000Z,Lantana,dorm,4
2025-05-18T08:09:47.000Z,Castaño,dorm,5
2025-05-18T15:23:45.000Z,Lantana,dorm,4
2025-05-18T15:23:45.000Z,Castaño,dorm,5
2025-05-18T15:24:50.000Z,Lantana,dorm,4
2025-05-18T15:24:50.000Z,Castaño,dorm,5
2025-05-18T15:27:43.000Z,Lantana,dorm,4
2025-05-18T15:27:43.000Z,Castaño,dorm,5
2025-05-19T03:21:15.000Z,Lantana,dorm,4
2025-05-19T03:21:15.000Z,Castaño,dorm,5
2025-05-19T03:21:18.000Z,Lantana,dorm,4
2025-05-19T03:21:36.000Z,Castaño,dorm,5
2025-05-19T04:23:58.000Z,Lantana,dorm,4
2025-05-19T04:23:58.000Z,Castaño,dorm,5
2025-05-19T04:26:08.000Z,Lantana,dorm,4
2025-05-19T04:26:21.000Z,Castaño,dorm,5
2025-05-19T20:13:54.000Z,Castaño,dorm,5
2025-05-19T20:36:13.000Z,Lantana,dorm,4
2025-05-23T08:14:06.000Z,Castaño,dorm,5
2025-05-24T09:11:43.000Z,Castaño,dorm,5
2025-05-24T11:29:18.000Z,Lantana,dorm,4
2025-05-24T11:29:19.000Z,Castaño,dorm,5
2025-05-25T05:50:41.000Z,Castaño,dorm,5
2025-05-25T05:55:09.000Z,Lantana,dorm,4
2025-05-25T05:55:09.000Z,Castaño,dorm,5
2025-05-25T06:02:17.000Z,Lantana,dorm,4
2025-05-25T06:02:17.000Z,Castaño,dorm,5
2025-05-25T07:26:23.000Z,Lantana,dorm,4
2025-05-25T07:26:23.000Z,Castaño,dorm,5
2025-05-25T07:26:34.000Z,Lantana,dorm,4
2025-05-25T07:26:42.000Z,Castaño,dorm,5
2025-05-26T08:51:01.000Z,Crother,dorm,2
2025-05-27T03:22:35.000Z,Castaño,dorm,5
2025-05-27T03:30:42.000Z,Lantana,dorm,4
2025-05-27T03:30:42.000Z,Castaño,dorm,5
2025-05-27T03:38:31.000Z,Lantana,dorm,4
2025-05-27T03:38:50.000Z,Castaño,dorm,5
2025-05-27T03:46:41.000Z,Lantana,dorm,4
2025-05-27T03:46:41.000Z,Castaño,dorm,5
2025-05-27T03:46:46.000Z,Lantana,dorm,4
2025-05-27T04:02:48.000Z,Castaño,dorm,5
2025-05-30T09:11:05.000Z,Castaño,dorm,5
2025-06-01T00:29:09.000Z,Castaño,dorm,5
2025-06-01T00:41:05.000Z,Lantana,dorm,4
